DataCode,RecType,Recyear,Season,RecMonth,Recday,TrapDay,Watershed,Line,Sta,Species,Sex,Age,Preg,Cond,Mass,Status,ToeClip,HairClip,REarTag,LEarTag,TailLength,HindFoot,comments,TakenBy
CSM01,2,1981,au,10,29,3,010a,w,16,sh,m,a,,1,154,an,4000,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,18,sh,m,a,,1,,a,4000,,,,,,,
CSM01,2,1981,au,10,30,4,004b,w,11,pl,f,s,0,6,20.5,an,2053,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,20,pl,m,j,,3,15.5,an,2052,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,8,pl,f,a,0,6,23,an,2051,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,3,pl,m,s,,3,19,an,2050,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,5,pl,m,s,,3,19.5,an,2045,,,,,,,
CSM01,2,1981,au,10,29,3,004g,w,6,pl,m,j,,3,15.5,an,2044,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,20,pl,m,a,,3,22,an,2043,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,19,pl,m,a,,3,,a,2043,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,15,pl,m,a,,3,18,an,2042,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,1,pl,m,s,,3,17.5,an,2041,,,,,,,
CSM01,2,1981,au,10,29,3,004d,e,7,pl,f,j,0,6,11.5,an,2040,,,,,,,
CSM01,2,1981,au,10,29,3,004d,e,1,pl,m,s,,3,18,an,2035,,,,,,,
CSM01,2,1981,au,10,28,2,004b,w,12,pl,f,s,0,6,17.5,an,2034,,,,,,,
CSM01,2,1981,au,10,29,3,004b,w,13,pl,f,s,0,6,,a,2034,,,,,,,
CSM01,2,1981,au,10,30,4,004b,w,12,pl,f,s,0,6,,a,2034,,,,,,,
CSM01,2,1981,au,10,28,2,010a,w,3,pl,f,a,0,5,32,an,2033,,,,,,,
CSM01,2,1981,au,10,28,2,004d,e,7,pl,f,a,0,5,27,an,2032,,,,,,,
CSM01,2,1981,au,10,30,4,004d,e,7,pl,f,a,0,5,,a,2032,,,,,,,
CSM01,2,1981,au,10,28,2,004d,e,16,pl,m,a,,3,26.5,an,2031,,,,,,,
CSM01,2,1981,au,10,30,4,004d,e,16,pl,m,a,,3,,a,2031,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,20,pl,f,a,0,5,30,an,2030,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,20,pl,f,a,0,5,,a,2030,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,11,pl,m,a,,3,25,an,2025,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,11,pl,m,a,,3,,a,2025,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,8,pl,f,a,0,5,31,an,2024,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,8,pl,f,a,0,6,,a,2024,,,,,,,
CSM01,2,1981,au,10,27,1,004b,w,12,pl,m,a,,3,29,an,2023,,,,,,,
CSM01,2,1981,au,10,29,3,004b,w,12,pl,m,a,,3,,a,2023,,,,,,,
CSM01,2,1981,au,10,30,4,004b,w,12,pl,m,a,,3,,a,2023,,,,,,,
CSM01,2,1981,au,10,27,1,004d,e,7,pl,m,a,,3,30,an,2022,,,,,,,
CSM01,2,1981,au,10,28,2,004d,e,7,pl,m,a,,3,,a,2022,,,,,,,
CSM01,2,1981,au,10,29,3,004d,e,7,pl,m,a,,3,,a,2022,,,,,,,
CSM01,2,1981,au,10,30,4,004d,e,7,pl,m,a,,3,,a,2022,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,18,pl,f,a,0,5,28,an,2021,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,19,pl,f,a,0,5,,a,2021,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,19,pl,m,j,,3,14,an,2015,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,19,pl,m,j,,3,,a,2015,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,20,pl,f,a,0,5,29,an,2014,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,20,pl,f,a,0,5,,a,2014,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,19,pl,f,a,0,5,,a,2014,,,,,,,
CSM01,2,1981,au,10,24,3,n00d,w,9,pl,f,a,0,5,28,an,2013,,,,,,,
CSM01,2,1981,au,10,25,4,n00d,w,9,pl,f,a,0,5,,a,2013,,,,,,,
CSM01,2,1981,au,10,24,3,n04d,w,6,pl,m,a,,3,20,an,2012,,,,,,,
CSM01,2,1981,au,10,22,3,004d,w,19,pl,f,s,0,6,15.5,an,2011,,,,,,,
CSM01,2,1981,au,10,22,3,004d,w,1,pl,f,j,0,6,16,an,2005,,,,,,,
CSM01,2,1981,au,10,23,4,004d,w,2,pl,f,j,0,6,,a,2005,,,,,,,
CSM01,2,1981,au,10,21,2,004d,w,4,pl,m,a,,3,26,an,2004,,,,,,,
CSM01,2,1981,au,10,23,4,004d,w,4,pl,m,a,,3,,a,2004,,,,,,,
CSM01,2,1981,au,10,21,2,004f,e,18,pl,f,a,0,6,27,an,2003,,,,,,,
CSM01,2,1981,au,10,23,4,004f,e,19,pl,f,a,0,6,,a,2003,,,,,,,
CSM01,2,1981,au,10,20,1,010a,e,4,pl,m,s,,3,19.5,an,2002,,,,,,,
CSM01,2,1981,au,10,20,1,004d,w,18,pl,f,a,0,4,31,an,2001,,,,,,,
CSM01,2,1981,au,10,22,3,004d,w,18,pl,f,a,0,4,,a,2001,,,,,,,
CSM01,2,1981,au,10,30,4,004d,e,6,pl,f,a,,,,a,2001,,,,,,,
CSM01,2,1981,au,10,28,2,004b,w,5,pm,f,a,0,5,27,an,1244,,,,,,,
CSM01,2,1981,au,10,29,3,004b,w,4,pm,f,a,0,5,,a,1244,,,,,,,
CSM01,2,1981,au,10,30,4,004b,w,4,pm,f,a,0,5,,a,1244,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,17,pm,m,j,,3,8.5,an,1200,,,,,,,
CSM01,2,1981,au,10,23,4,004g,e,7,pm,f,a,0,5,,ap,1121,,,,,, was no. 1,
CSM01,2,1981,au,10,27,1,004f,w,17,pm,m,a,,1,19,an,1104,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,11,pm,m,a,,1,,a,1104,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,17,pm,m,a,,1,,a,1104,,,,,,,
CSM01,2,1981,au,10,24,1,001d,w,9,pm,m,a,,3,13.5,an,1103,,,,,,,
CSM01,2,1981,au,10,25,2,001d,w,9,pm,m,a,,3,,a,1103,,,,,,,
CSM01,2,1981,au,10,27,4,001d,w,12,pm,m,a,,3,,a,1103,,,,,,,
CSM01,2,1981,au,10,24,1,001d,w,12,pm,m,a,,1,15,an,1102,,,,,,,
CSM01,2,1981,au,10,25,2,001d,w,12,pm,m,a,,3,,a,1102,,,,,,,
CSM01,2,1981,au,10,27,4,001d,w,19,pm,m,a,,1,,a,1102,,,,,,,
CSM01,2,1981,au,10,24,1,001d,w,20,pm,f,a,0,6,16,an,1101,,,,,,,
CSM01,2,1981,au,10,27,4,001d,w,20,pm,f,a,0,6,,a,1101,,,,,,,
CSM01,2,1981,au,10,24,1,n00d,e,12,pm,f,a,0,5,18.5,an,1100,,,,,,,
CSM01,2,1981,au,10,25,2,n00d,e,12,pm,f,a,0,5,,a,1100,,,,,,,
CSM01,2,1981,au,10,22,3,004b,e,20,pm,f,s,0,6,13.5,an,1001,,,,,,,
CSM01,2,1981,au,10,29,3,010a,w,11,sh,m,a,,1,157,an,1000,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,11,sh,m,a,,1,,a,1000,,,,,,,
CSM01,2,1981,au,10,22,3,004b,e,15,pm,f,a,0,5,18.5,an,401,,,,,,,
CSM01,2,1981,au,10,23,4,004b,e,15,pm,f,a,0,5,,a,401,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,9,pm,m,a,,3,17,an,310,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,20,pm,f,a,0,6,20.5,an,303,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,12,pm,m,a,,3,16,an,302,,,,,,,
CSM01,2,1981,au,10,30,4,004b,w,15,rmeg,f,a,0,5,16.5,an,302,,,,,,,
CSM01,2,1981,au,10,24,3,000b,e,7,rmeg,m,j,,1,9,an,301,,,,,,,
CSM01,2,1981,au,10,25,4,n01d,w,1,bh,,,,,18,an,301,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,18,pm,f,j,0,6,9.5,an,301,,,,,,,
CSM01,2,1981,au,10,25,4,000b,e,16,bh,,,,,16,an,300,,,,,, wet animal,
CSM01,2,1981,au,10,30,4,004g,w,11,pm,m,a,,3,15.5,an,300,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,17,pm,f,j,0,6,8.5,an,255,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,16,pm,f,a,1,5,31,an,254,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,15,pm,f,a,1,5,,a,254,,,,,,,
CSM01,2,1981,au,10,30,4,004b,w,13,rmeg,m,j,,3,7.5,an,254,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,8,pm,m,a,,1,20.5,an,253,,,,,,,
CSM01,2,1981,au,10,30,4,004d,e,17,rmeg,f,a,0,5,14,an,253,,,,,,,
CSM01,2,1981,au,10,29,3,004d,e,5,pm,m,a,,3,18,an,252,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,13,rmeg,m,j,,3,9,an,252,,,,,,,
CSM01,2,1981,au,10,28,2,010a,w,16,sh,m,a,,3,109,an,251,,,,,,,
CSM01,2,1981,au,10,29,3,010a,w,19,pm,m,a,,1,20,an,251,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,6,rmon,f,a,1,5,,an,251,,,,,,,
CSM01,2,1981,au,10,29,3,010a,w,19,pm,f,a,0,5,23.5,an,250,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,5,rmon,m,a,,3,10.5,an,250,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,19,pm,f,a,0,4,,a,250,,,,,,,
CSM01,2,1981,au,10,29,3,010a,w,8,pm,m,a,,3,14.5,an,245,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,4,rmeg,m,a,,1,12,an,245,,,,,,,
CSM01,2,1981,au,10,28,2,004b,w,2,pm,m,a,,1,17,an,244,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,15,rmeg,m,a,,3,12,an,244,,,,,,,
CSM01,2,1981,au,10,30,4,004b,w,2,pm,m,a,,1,,a,244,,,,,,,
CSM01,2,1981,au,10,28,2,010a,w,20,pm,m,a,,1,21,an,243,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,14,rmeg,f,j,0,6,9,an,243,,,,,,,
CSM01,2,1981,au,10,28,2,010a,w,17,pm,m,a,,3,13.5,an,242,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,13,rmeg,m,j,,3,7.5,an,242,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,19,pm,m,a,,3,18,an,241,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,9,pm,m,a,,3,,a,241,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,12,rmeg,m,j,,3,8.5,an,241,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,18,pm,m,j,,3,7,an,240,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,8,rmeg,m,j,,3,7.5,an,240,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,17,pm,f,j,0,6,7.5,an,235,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,5,rmeg,m,a,,3,12,an,235,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,17,pm,f,j,0,6,,a,235,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,17,pm,m,a,,1,23,an,234,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,18,pm,m,a,,1,,a,234,,,,,,,
CSM01,2,1981,au,10,29,3,004g,w,11,rmeg,f,a,0,5,13,an,234,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,18,pm,m,a,,1,,a,234,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,3,pm,m,a,,1,22.5,an,233,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,3,pm,m,a,,1,,a,233,,,,,,,
CSM01,2,1981,au,10,29,3,004g,w,7,rmeg,m,j,,3,9,an,233,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,2,pm,m,a,,1,,a,233,,,,,,,
CSM01,2,1981,au,10,28,2,004g,w,19,pm,f,a,0,5,18.5,an,232,,,,,,,
CSM01,2,1981,au,10,29,3,004g,w,1,rmeg,m,j,,3,8.5,an,232,,,,,,,
CSM01,2,1981,au,10,30,4,004g,w,17,pm,f,a,0,5,,a,232,,,,,,,
CSM01,2,1981,au,10,27,1,010a,w,19,pm,m,a,,1,21,an,231,,,,,,,
CSM01,2,1981,au,10,28,2,010a,w,19,pm,m,a,,1,,a,231,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,14,rmeg,m,j,,3,9.5,an,231,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,19,pm,m,a,,1,,a,231,,,,,,,
CSM01,2,1981,au,10,27,1,010a,w,14,pm,f,a,0,6,13,an,230,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,6,rmon,f,,0,6,9,an,230,,,,,,,
CSM01,2,1981,au,10,27,1,010a,w,8,pm,f,a,0,6,17,an,225,,,,,,,
CSM01,2,1981,au,10,28,2,010a,w,8,pm,f,a,0,6,,a,225,,,,,,,
CSM01,2,1981,au,10,29,3,010a,w,7,pm,f,a,0,6,,a,225,,,,,,,
CSM01,2,1981,au,10,29,3,004d,e,9,rmeg,m,j,,3,8,an,225,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,7,pm,f,a,0,6,,a,225,,,,,,,
CSM01,2,1981,au,10,27,1,010a,w,8,pm,m,a,,1,22,an,224,,,,,,,
CSM01,2,1981,au,10,29,3,004b,w,17,rmeg,m,a,,1,12,an,224,,,,,,,
CSM01,2,1981,au,10,29,3,010a,w,8,pm,m,a,,1,,a,224,,,,,,,
CSM01,2,1981,au,10,30,4,010a,w,8,pm,m,a,,1,,a,224,,,,,,,
CSM01,2,1981,au,10,27,1,010a,w,5,pm,m,a,,3,13,an,223,,,,,,,
CSM01,2,1981,au,10,28,2,004b,w,6,rmeg,m,j,,3,7.5,an,223,,,,,,,
CSM01,2,1981,au,10,27,1,010a,w,2,pm,m,a,,3,14,an,222,,,,,,,
CSM01,2,1981,au,10,28,2,004d,e,16,rmeg,m,j,,3,8,an,222,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,8,pm,m,a,,1,21.5,an,221,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,9,pm,m,a,,1,,a,221,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,14,rmeg,m,a,,1,13,an,221,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,9,pm,m,a,,1,,a,221,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,8,pm,m,a,,1,,a,221,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,8,pm,f,a,1,5,22,an,220,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,8,pm,f,a,1,5,,a,220,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,13,rmeg,m,j,,3,7.5,an,220,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,9,pm,f,a,1,5,,a,220,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,18,pm,f,a,1,4,30,an,215,,,,,,,
CSM01,2,1981,au,10,28,2,004f,w,12,rmeg,m,j,,3,8,an,215,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,18,pm,f,a,1,4,32,a,215,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,20,pm,m,a,,3,16.5,an,214,,,,,,,
CSM01,2,1981,au,10,28,2,004g,w,7,rmeg,m,,,1,11,an,214,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,4,pm,m,a,,3,,a,214,,,,,,,
CSM01,2,1981,au,10,27,4,001d,w,20,pm,f,s,0,6,14,an,213,,,,,,,
CSM01,2,1981,au,10,28,2,004g,w,6,rmeg,m,a,,3,13.5,an,213,,,,,,,
CSM01,2,1981,au,10,27,4,n01d,e,12,pm,f,a,0,6,11.5,an,212,,,,,,,
CSM01,2,1981,au,10,27,1,004b,w,6,rmeg,m,j,,3,8,an,212,,,,,,,
CSM01,2,1981,au,10,25,4,001d,e,8,pm,m,a,,3,16.5,an,211,,,,,,,
CSM01,2,1981,au,10,27,1,010a,w,3,rmeg,f,a,1,6,16.5,an,211,,,,,,,
CSM01,2,1981,au,10,29,3,010a,w,4,rmeg,f,a,1,6,,a,211,,,,,,,
CSM01,2,1981,au,10,25,4,001d,e,14,pm,f,a,0,6,17,an,210,,,,,,wet animal,
CSM01,2,1981,au,10,26,3,000b,w,14,rmeg,m,a,,1,13,an,210,,,,,,,
CSM01,2,1981,au,10,25,2,n01d,e,11,pm,f,a,0,6,25,an,205,,,,,,,
CSM01,2,1981,au,10,26,3,n01d,e,11,pm,f,a,0,4,,a,205,,,,,,,
CSM01,2,1981,au,10,27,1,004d,e,1,rmeg,m,a,,3,12,an,205,,,,,,,
CSM01,2,1981,au,10,25,4,n01d,w,5,pm,f,j,0,6,12,an,204,,,,,,wet animal,
CSM01,2,1981,au,10,27,1,004d,e,14,rmeg,m,a,,1,11.5,an,204,,,,,,,
CSM01,2,1981,au,10,27,4,n01d,e,3,pm,m,a,,3,14.5,an,203,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,9,rmeg,f,a,0,4,15,an,203,,,,,,,
CSM01,2,1981,au,10,27,4,n00d,e,13,pm,f,a,0,6,10,an,202,,,,,,,
CSM01,2,1981,au,10,27,1,004f,w,14,rmeg,m,j,,3,9,an,202,,,,,,,
CSM01,2,1981,au,10,29,3,004f,w,13,rmeg,m,j,,3,,a,202,,,,,,,
CSM01,2,1981,au,10,27,4,000b,w,13,rmeg,m,a,,3,10,an,201,,,,,,,
CSM01,2,1981,au,10,24,3,001d,e,14,pm,m,a,,1,25,an,200,,,,,,,
CSM01,2,1981,au,10,25,4,001d,e,15,pm,m,a,,1,,a,200,,,,,,,
CSM01,2,1981,au,10,27,4,001d,w,2,rmon,f,a,0,5,9.5,an,200,,,,,,,
CSM01,2,1981,au,10,24,3,001d,e,10,pm,f,a,0,6,18,an,155,,,,,,,
CSM01,2,1981,au,10,27,4,n01d,e,20,rmeg,f,,0,6,13,an,155,,,,,,,
CSM01,2,1981,au,10,24,1,n01d,e,4,pm,f,a,0,5,20,an,154,,,,,,,
CSM01,2,1981,au,10,26,3,n01d,e,5,pm,f,a,0,5,,a,154,,,,,,,
CSM01,2,1981,au,10,27,4,n00d,e,5,rmeg,f,a,1,6,12,an,154,,,,,,,
CSM01,2,1981,au,10,27,4,n01d,e,5,pm,f,a,0,5,,a,154,,,,,,,
CSM01,2,1981,au,10,24,1,n01d,e,7,pm,m,a,,3,16,an,153,,,,,,,
CSM01,2,1981,au,10,25,2,n01d,e,7,pm,m,a,,3,,a,153,,,,,,,
CSM01,2,1981,au,10,26,3,n01d,e,7,pm,m,a,,3,,a,153,,,,,,,
CSM01,2,1981,au,10,26,3,001d,w,19,rmeg,f,a,1,5,18.5,an,153,,,,,,,
CSM01,2,1981,au,10,27,4,n01d,e,7,pm,m,a,,3,,a,153,,,,,,,
CSM01,2,1981,au,10,24,1,n01d,e,11,pm,m,a,,3,18.5,an,152,,,,,,,
CSM01,2,1981,au,10,25,2,n01d,e,11,pm,m,a,,3,,a,152,,,,,,,
CSM01,2,1981,au,10,26,3,n01d,e,12,pm,m,a,,1,,a,152,,,,,,,
CSM01,2,1981,au,10,26,3,000b,w,17,rmeg,f,j,0,6,6,an,152,,,,,,,
CSM01,2,1981,au,10,27,4,n01d,e,9,pm,m,a,,1,,a,152,,,,,,,
CSM01,2,1981,au,10,24,3,n01d,w,6,pm,m,j,,3,11,an,151,,,,,,,
CSM01,2,1981,au,10,25,4,000b,e,19,rmeg,m,j,,3,9,an,151,,,,,,,
CSM01,2,1981,au,10,24,1,n04d,e,19,pm,m,a,,1,16.5,an,150,,,,,,,
CSM01,2,1981,au,10,25,4,000b,e,11,rmeg,m,j,,3,7,an,150,,,,,,,
CSM01,2,1981,au,10,24,1,n04d,e,18,pm,f,a,0,5,22,an,145,,,,,,,
CSM01,2,1981,au,10,25,4,000b,e,11,rmeg,f,j,0,6,7,an,145,,,,,,,
CSM01,2,1981,au,10,26,3,n04d,e,18,pm,f,a,0,4,,a,145,,,,,,,
CSM01,2,1981,au,10,27,4,n04d,e,20,pm,f,a,0,5,,a,145,,,,,,,
CSM01,2,1981,au,10,24,1,n04d,e,7,pm,f,a,0,5,20.5,an,144,,,,,,,
CSM01,2,1981,au,10,25,4,000b,e,2,rmeg,m,j,,3,6.5,an,144,,,,,,,
CSM01,2,1981,au,10,26,3,n04d,e,7,pm,f,a,0,5,,a,144,,,,,,,
CSM01,2,1981,au,10,24,1,n04d,e,6,pm,f,s,0,6,12,an,143,,,,,,,
CSM01,2,1981,au,10,25,4,n00d,w,16,rmeg,m,a,,1,15,an,143,,,,,,,
CSM01,2,1981,au,10,27,4,n04d,e,7,pm,f,s,0,6,,a,143,,,,,,,
CSM01,2,1981,au,10,24,1,n04d,e,5,pm,m,a,,1,22,an,142,,,,,,,
CSM01,2,1981,au,10,25,2,n04d,e,15,rmeg,f,a,1,5,15,an,142,,,,,,,
CSM01,2,1981,au,10,26,3,n04d,e,5,pm,m,a,,1,,a,142,,,,,,,
CSM01,2,1981,au,10,27,4,n04d,e,8,pm,m,a,,1,,a,142,,,,,,,
CSM01,2,1981,au,10,23,2,001d,e,5,pm,f,a,1,5,19.5,an,141,,,,,,,
CSM01,2,1981,au,10,25,2,000b,w,12,rmeg,f,,0,5,11,an,141,,,,,,,
CSM01,2,1981,au,10,23,2,n01d,w,15,pm,m,a,,3,18.5,an,140,,,,,,,
CSM01,2,1981,au,10,24,3,n01d,w,16,pm,m,a,,3,,a,140,,,,,,,
CSM01,2,1981,au,10,25,4,n04d,w,6,rmeg,m,j,,3,6.5,an,140,,,,,,,
CSM01,2,1981,au,10,25,4,n01d,w,12,pm,m,a,,3,,a,140,,,,,,,
CSM01,2,1981,au,10,23,2,n01d,w,5,pm,m,a,,3,19.5,an,135,,,,,,,
CSM01,2,1981,au,10,24,3,n01d,w,7,pm,m,a,,3,,a,135,,,,,,,
CSM01,2,1981,au,10,25,4,n04d,w,7,rmeg,m,a,,1,13,an,135,,,,,,,
CSM01,2,1981,au,10,25,4,n01d,w,7,pm,m,a,,3,,a,135,,,,,,,
CSM01,2,1981,au,10,23,2,n04d,w,1,pm,m,a,,1,17.5,an,134,,,,,,,
CSM01,2,1981,au,10,24,3,n04d,w,1,pm,m,a,,1,,a,134,,,,,,,
CSM01,2,1981,au,10,24,1,n00d,e,8,rmeg,f,a,1,5,14,an,134,,,,,,,
CSM01,2,1981,au,10,23,4,004b,e,13,pm,m,a,,3,19,an,133,,,,,,,
CSM01,2,1981,au,10,24,3,000b,e,8,rmeg,f,j,0,6,8.5,an,133,,,,,,,
CSM01,2,1981,au,10,23,4,010a,e,11,pm,m,j,,3,10,an,132,,,,,,,
CSM01,2,1981,au,10,24,3,000b,e,12,rmeg,f,a,0,5,14,an,132,,,,,,,
CSM01,2,1981,au,10,23,4,004f,e,18,pm,m,s,,3,14,an,131,,,,,,,
CSM01,2,1981,au,10,24,3,000b,e,17,rmeg,m,j,,3,7,an,131,,,,,,,
CSM01,2,1981,au,10,30,4,004f,w,10,pm,m,a,,3,13.5,a,131,,,,,,,
CSM01,2,1981,au,10,23,4,004g,e,16,pm,f,j,0,6,7.5,an,130,,,,,,,
CSM01,2,1981,au,10,24,3,000b,e,19,rmeg,f,j,0,6,7,an,130,,,,,,,
CSM01,2,1981,au,10,23,4,004g,e,16,pm,m,j,,3,7.5,an,125,,,,,,,
CSM01,2,1981,au,10,24,3,000b,e,20,rmeg,m,a,,3,13.5,an,125,,,,,,,
CSM01,2,1981,au,10,22,1,001d,e,11,pm,m,a,,1,24.5,an,124,,,,,,,
CSM01,2,1981,au,10,23,2,001d,e,11,pm,m,a,,1,,a,124,,,,,,,
CSM01,2,1981,au,10,24,3,n00d,w,8,rmeg,m,j,,3,8,an,124,,,,,,,
CSM01,2,1981,au,10,24,3,001d,e,11,pm,m,a,,3,,a,124,,,,,,,
CSM01,2,1981,au,10,25,4,001d,e,10,pm,m,a,,1,,a,124,,,,,,,
CSM01,2,1981,au,10,22,1,001d,e,11,pm,m,a,,1,25,an,123,,,,,,,
CSM01,2,1981,au,10,23,2,001d,e,8,pm,m,a,,1,,a,123,,,,,,,
CSM01,2,1981,au,10,24,3,n00d,w,10,rmeg,m,j,,3,8,an,123,,,,,,,
CSM01,2,1981,au,10,24,3,001d,e,8,pm,m,a,,1,,a,123,,,,,,,
CSM01,2,1981,au,10,25,4,001d,e,11,pm,m,a,,1,,a,123,,,,,,,
CSM01,2,1981,au,10,22,1,001d,e,10,pm,f,a,0,4,20,an,122,,,,,,,
CSM01,2,1981,au,10,24,3,n00d,w,11,rmeg,m,j,,3,8.5,an,122,,,,,,,
CSM01,2,1981,au,10,24,3,001d,e,10,pm,f,a,0,4,,a,122,,,,,,,
CSM01,2,1981,au,10,22,1,001d,e,8,pm,m,a,,1,20,an,121,,,,,,,
CSM01,2,1981,au,10,23,2,001d,e,5,pm,m,a,,1,,a,121,,,,,,,
CSM01,2,1981,au,10,24,3,n00d,w,17,rmon,f,a,1,4,13,an,121,,,,,,,
CSM01,2,1981,au,10,24,3,001d,e,5,pm,m,a,,1,,a,121,,,,,,,
CSM01,2,1981,au,10,25,4,001d,e,5,pm,m,a,,1,,a,121,,,,,,,
CSM01,2,1981,au,10,22,1,n01d,w,5,pm,f,a,1,4,29.5,an,120,,,,,,,
CSM01,2,1981,au,10,24,1,000b,w,6,rmeg,f,a,0,4,15,an,120,,,,,,,
CSM01,2,1981,au,10,27,4,000b,w,6,rmeg,f,a,1,5,,a,120,,,,,,,
CSM01,2,1981,au,10,22,1,n01d,w,7,pm,m,j,,3,9.5,an,115,,,,,,,
CSM01,2,1981,au,10,24,1,000b,w,9,rmeg,f,a,1,4,14.5,an,115,,,,,,,
CSM01,2,1981,au,10,22,1,n00d,w,3,pm,m,a,,1,20,an,114,,,,,,,
CSM01,2,1981,au,10,24,3,n04d,w,8,rmeg,f,a,1,5,11.5,an,114,,,,,,,
CSM01,2,1981,au,10,22,1,n04d,w,1,pm,f,a,0,5,22,an,113,,,,,,,
CSM01,2,1981,au,10,23,2,001d,e,2,rmeg,m,a,,1,9.5,an,113,,,,,,,
CSM01,2,1981,au,10,22,3,010a,e,1,pm,f,s,0,6,12.5,an,112,,,,,,,
CSM01,2,1981,au,10,23,2,n00d,w,4,rmeg,f,j,0,6,6,an,112,,,,,,,
CSM01,2,1981,au,10,22,3,004f,e,13,pm,m,a,,1,20.5,an,111,,,,,,,
CSM01,2,1981,au,10,23,4,004f,e,11,pm,m,a,,1,,a,111,,,,,,,
CSM01,2,1981,au,10,23,2,n01d,w,15,rmeg,f,a,1,4,16,an,111,,,,,,,
CSM01,2,1981,au,10,22,3,010a,e,3,pm,f,a,0,5,20.5,an,110,,,,,,,
CSM01,2,1981,au,10,23,2,n01d,w,14,rmeg,m,a,,3,8,an,110,,,,,,,
CSM01,2,1981,au,10,22,3,010a,e,15,pm,m,s,,3,14.5,an,105,,,,,,,
